Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Democratic Republic of the Congo,Climate Watch,Total including LUCF,All GHG,MtCO₂e,679.57,676.86,682.01,680.03,679.91,677.77,677.01,673.04,676.09,442.37,439.95,440.32,436.22,442.84,440.48,440.11,437.1,429.83,417.58,425.81,429.55,437.45,435.55,428.89,432.58,432.52,431.04,429.54,429.39,430.77
Denmark,Climate Watch,Total including LUCF,All GHG,MtCO₂e,44.06,47.43,47.97,50.28,45.93,47.94,52.12,50.7,55.79,63.14,62.86,65.75,69.27,74.05,66.32,70.04,76.25,70.73,71.41,70.0,73.8,76.7,80.7,90.4,76.91,80.07,76.43,73.8,80.01,69.19
Djibouti,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1.38,1.36,1.36,1.36,1.4,1.33,1.48,1.41,1.38,1.41,1.36,1.36,1.35,1.31,1.31,1.27,1.28,1.26,1.23,1.22,1.23,1.2,1.12,1.07,1.05,0.98,0.97,0.95,0.93,0.91
Dominica,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.22,0.22,0.22,0.23,0.24,0.24,0.23,0.31,0.24,0.24,0.56,0.24,0.24,0.22,0.21,0.2,0.19,0.17,0.21,0.25,0.24,0.25,0.25,0.24,0.26,0.26,0.26,0.26,0.24,0.24
Dominican Republic,Climate Watch,Total including LUCF,All GHG,MtCO₂e,39.76,37.64,35.47,36.22,35.35,32.92,32.57,32.8,31.99,30.84,29.49,30.0,29.85,28.65,26.73,25.41,26.12,28.45,26.02,19.91,19.21,18.61,16.67,14.99,14.08,13.57,11.59,11.1,9.62,8.51
Ecuador,Climate Watch,Total including LUCF,All GHG,MtCO₂e,98.7,98.83,97.66,98.96,91.16,92.63,90.98,87.93,88.04,99.41,95.84,92.32,90.6,90.92,88.43,86.67,82.56,81.42,81.76,84.69,85.4,88.26,89.94,88.05,83.97,81.49,78.3,76.71,74.22,73.52
Egypt,Climate Watch,Total including LUCF,All GHG,MtCO₂e,351.96,345.01,338.61,325.66,318.29,312.08,306.32,309.38,298.66,289.78,287.39,280.06,270.59,255.23,244.26,223.0,209.76,204.6,199.17,185.36,185.66,175.75,170.01,161.15,153.38,143.76,147.48,141.98,139.23,133.65
El Salvador,Climate Watch,Total including LUCF,All GHG,MtCO₂e,13.92,12.92,12.59,13.33,13.33,12.86,12.59,13.34,13.18,13.27,13.52,13.89,14.45,13.88,13.4,13.01,12.65,12.08,11.85,11.2,11.6,11.39,11.27,10.41,10.47,10.2,9.58,9.11,8.73,7.95
Equatorial Guinea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,15.24,16.79,16.25,17.68,18.1,20.13,18.55,19.47,19.74,20.38,19.99,20.94,20.01,20.92,19.93,17.49,15.25,13.98,13.19,10.69,11.13,9.48,8.3,6.77,6.42,6.24,6.08,5.9,4.15,4.01
Eritrea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,6.78,6.72,6.54,6.46,6.31,6.27,6.22,6.15,6.06,5.85,5.94,5.89,5.95,5.62,5.86,5.84,5.83,5.68,5.73,6.01,5.9,5.72,5.78,5.28,4.75,4.63,4.44,4.85,4.14,4.12
Estonia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,14.83,19.98,21.37,20.62,12.21,14.6,15.95,13.51,14.75,20.48,16.44,19.87,21.43,17.37,18.59,18.44,18.28,16.29,16.7,16.24,16.58,17.41,17.9,18.36,17.5,19.13,20.07,25.92,33.85,37.73
Eswatini,Climate Watch,Total including LUCF,All GHG,MtCO₂e,2.69,2.55,2.51,2.43,2.34,2.36,2.36,2.28,2.24,2.23,2.2,2.26,2.39,2.2,2.31,2.26,2.24,2.13,2.07,2.29,2.29,2.27,2.17,2.04,2.12,2.07,2.01,2.19,2.12,2.06
Ethiopia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,183.37,180.95,179.26,175.56,169.34,166.06,159.85,155.63,150.03,149.91,144.76,140.64,136.8,126.79,121.97,118.47,116.34,117.9,108.39,102.14,105.85,105.0,99.29,95.3,92.51,91.65,90.48,96.37,95.53,95.14
European Union (27),Climate Watch,Total including LUCF,All GHG,MtCO₂e,3149.57,3295.53,3379.38,3364.77,3019.49,2962.68,3109.55,3188.85,3250.07,3619.79,3540.97,3811.63,3903.15,3936.29,3935.61,3962.83,3960.54,3871.02,3884.4,3877.33,3874.4,3949.25,3983.29,4058.46,3947.64,3894.63,3908.95,3981.08,4120.94,4187.9
